game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 15, 10, 27.5, 2014-08-14 14:18:32.973000, 2014-08-14 14:18:42.531000, 2014-08-14 14:18:50.398000, 2014-08-14 14:19:15.321000
1, 2, 18, 18, 34.4, 2014-08-14 14:19:15.322000, 2014-08-14 14:19:20.814000, 2014-08-14 14:19:23.149000, 2014-08-14 14:19:27.787000
1, 3, 20, 18, 34.2, 2014-08-14 14:19:27.788000, 2014-08-14 14:19:29.928000, 2014-08-14 14:19:32.758000, 2014-08-14 14:19:38.020000
1, 4, 20, 20, 36.0, 2014-08-14 14:19:38.020000, 2014-08-14 14:19:40.862000, 2014-08-14 14:19:45.688000, 2014-08-14 14:19:48.819000
1, 5, 20, 20, 36.0, 2014-08-14 14:19:48.820000, 2014-08-14 14:19:50.678000, 2014-08-14 14:19:55.505000, 2014-08-14 14:19:57.236000
1, 6, 20, 20, 36.0, 2014-08-14 14:19:57.236000, 2014-08-14 14:20:01.076000, 2014-08-14 14:20:07.903000, 2014-08-14 14:20:23.134000
1, 7, 17, 20, 36.3, 2014-08-14 14:20:23.134000, 2014-08-14 14:20:25.943000, 2014-08-14 14:20:28.276000, 2014-08-14 14:20:37.933000
1, 8, 10, 19, 36.1, 2014-08-14 14:20:37.933000, 2014-08-14 14:20:40.142000, 2014-08-14 14:20:42.474000, 2014-08-14 14:20:47.099000
1, 9, 18, 11, 28.1, 2014-08-14 14:20:47.099000, 2014-08-14 14:20:48.775000, 2014-08-14 14:20:54.607000, 2014-08-14 14:20:56.998000
1, 10, 20, 19, 35.1, 2014-08-14 14:20:56.998000, 2014-08-14 14:20:59.390000, 2014-08-14 14:21:03.722000, 2014-08-14 14:21:05.581000
2, 1, 20, 15, 26.25, 2014-08-14 14:21:15.032000, 2014-08-14 14:21:17.938000, 2014-08-14 14:21:27.041000, 2014-08-14 14:21:30.713000
2, 2, 17, 20, 30.75, 2014-08-14 14:21:30.713000, 2014-08-14 14:21:34.154000, 2014-08-14 14:21:36.488000, 2014-08-14 14:21:38.329000
2, 3, 19, 18, 28.75, 2014-08-14 14:21:38.329000, 2014-08-14 14:21:39.888000, 2014-08-14 14:21:42.222000, 2014-08-14 14:21:43.928000
2, 4, 16, 19, 30.25, 2014-08-14 14:21:43.929000, 2014-08-14 14:21:45.954000, 2014-08-14 14:21:51.287000, 2014-08-14 14:21:53.528000
2, 5, 20, 18, 28.5, 2014-08-14 14:21:53.528000, 2014-08-14 14:21:54.989000, 2014-08-14 14:21:59.318000, 2014-08-14 14:22:00.677000
2, 6, 17, 19, 30.0, 2014-08-14 14:22:00.678000, 2014-08-14 14:22:02.369000, 2014-08-14 14:22:07.198000, 2014-08-14 14:22:12.526000
2, 7, 18, 16, 27.5, 2014-08-14 14:22:12.527000, 2014-08-14 14:22:15.119000, 2014-08-14 14:22:17.450000, 2014-08-14 14:22:18.443000
2, 8, 19, 19, 29.5, 2014-08-14 14:22:18.444000, 2014-08-14 14:22:19.584000, 2014-08-14 14:22:25.413000, 2014-08-14 14:22:27.775000
2, 9, 19, 20, 30.25, 2014-08-14 14:22:27.776000, 2014-08-14 14:22:29.402000, 2014-08-14 14:22:34.235000, 2014-08-14 14:22:36.742000
2, 10, 20, 19, 29.25, 2014-08-14 14:22:36.742000, 2014-08-14 14:22:37.800000, 2014-08-14 14:22:42.634000, 2014-08-14 14:22:45.008000
3, 1, 20, 16, 21.6, 2014-08-14 14:23:06.524000, 2014-08-14 14:23:09.715000, 2014-08-14 14:23:12.050000, 2014-08-14 14:23:18.156000
3, 2, 16, 20, 25.6, 2014-08-14 14:23:18.156000, 2014-08-14 14:23:22.197000, 2014-08-14 14:23:24.528000, 2014-08-14 14:23:27.088000
3, 3, 15, 19, 25.4, 2014-08-14 14:23:27.089000, 2014-08-14 14:23:31.631000, 2014-08-14 14:23:33.964000, 2014-08-14 14:23:38.671000
3, 4, 10, 13, 23.8, 2014-08-14 14:23:38.672000, 2014-08-14 14:23:42.230000, 2014-08-14 14:23:44.563000, 2014-08-14 14:23:47.154000
3, 5, 19, 4, 14.8, 2014-08-14 14:23:47.154000, 2014-08-14 14:23:52.696000, 2014-08-14 14:23:55.028000, 2014-08-14 14:23:58.454000
3, 6, 11, 10, 21.6, 2014-08-14 14:23:58.455000, 2014-08-14 14:24:01.462000, 2014-08-14 14:24:03.793000, 2014-08-14 14:24:06.086000
3, 7, 20, 11, 18.6, 2014-08-14 14:24:06.087000, 2014-08-14 14:24:07.595000, 2014-08-14 14:24:11.930000, 2014-08-14 14:24:13.869000
3, 8,  9 , 12, 23.6, 2014-08-14 14:24:13.869000, 2014-08-14 14:24:16.361000, 2014-08-14 14:24:22.223000, 2014-08-14 14:24:24.485000
3, 9, 20, 10, 18.0, 2014-08-14 14:24:24.486000, 2014-08-14 14:24:25.960000, 2014-08-14 14:24:29.288000, 2014-08-14 14:24:32.118000
3, 10, 12, 16, 24.8, 2014-08-14 14:24:32.118000, 2014-08-14 14:24:35.277000, 2014-08-14 14:24:37.609000, 2014-08-14 14:24:39.567000
