begin_AOI_fix, final_AOI_fix, AOI, game, round
801642036, 801642036, 2_3, 1, 1
801642152, 801642152, 2_4, 1, 1
801642169, 801642169, 2_3, 1, 1
801642186, 801642186, 2_4, 1, 1
801642202, 801642435, 2_3, 1, 1
801642552, 801642885, 2_2, 1, 1
801643101, 801643135, 3_3, 1, 1
801643251, 801643384, 3_2, 1, 1
801643401, 801643800, 3_1, 1, 1
801643917, 801644033, 3_2, 1, 1
801644050, 801644050, 3_3, 1, 1
801644267, 801644483, 1_2, 1, 1
801644500, 801644616, 1_3, 1, 1
801644633, 801644633, 1_4, 1, 1
801644649, 801644683, 1_3, 1, 1
801644716, 801644716, 1_4, 1, 1
801644733, 801644849, 1_3, 1, 1
801644966, 801645099, 1_1, 1, 1
801645315, 801645666, 2_3, 1, 1
801645782, 801645866, 1_3, 1, 1
801646082, 801646082, 2_2, 1, 1
801646199, 801646315, 1_2, 1, 1
801646432, 801646498, 2_4, 1, 1
801646532, 801646565, 2_4, 1, 1
801646731, 801646865, 1_4, 1, 1
801647497, 801647764, 3_5, 1, 1
801648146, 801648180, 4_0, 1, 1
801648197, 801648197, 3_5, 1, 1
801648213, 801648230, 4_0, 1, 1
801648246, 801648246, 3_5, 1, 1
801648263, 801648263, 4_0, 1, 1
801648280, 801648696, 3_5, 1, 1
801648812, 801649545, 4_0, 1, 1
801649911, 801650078, 1_3, 1, 1
801650294, 801650477, 4_0, 1, 1
801650960, 801651226, 1_4, 1, 1
801651243, 801651459, 1_3, 1, 1
801651476, 801651476, 1_4, 1, 1
801651692, 801651726, 2_3, 1, 1
801651759, 801651759, 2_3, 1, 1
801651976, 801652325, 4_0, 1, 1
801659618, 801659668, 2_3, 1, 2
801659884, 801659934, 1_3, 1, 2
801659967, 801660001, 1_3, 1, 2
801660034, 801660051, 1_3, 1, 2
801660067, 801660067, 1_4, 1, 2
801660101, 801660317, 1_4, 1, 2
801660350, 801660517, 1_3, 1, 2
801660534, 801660733, 1_2, 1, 2
801660850, 801660983, 1_1, 1, 2
801661116, 801661133, 2_3, 1, 2
801661149, 801661149, 2_2, 1, 2
801661166, 801661516, 2_3, 1, 2
801661632, 801661649, 1_3, 1, 2
801661666, 801661666, 1_2, 1, 2
801661682, 801661715, 1_3, 1, 2
801661749, 801661749, 1_2, 1, 2
801661865, 801662032, 2_2, 1, 2
801662165, 801662365, 1_2, 1, 2
801662781, 801663180, 3_5, 1, 2
801663380, 801663380, 2_5, 1, 2
801663597, 801663713, 4_0, 1, 2
801664246, 801664329, 3_5, 1, 2
801664346, 801664612, 3_4, 1, 2
801664729, 801664745, 3_3, 1, 2
801664779, 801664779, 3_4, 1, 2
801664895, 801665562, 4_0, 1, 2
801665579, 801665579, 3_4, 1, 2
801676135, 801676418, 2_3, 1, 3
801676434, 801676717, 1_3, 1, 3
801676734, 801676734, 1_2, 1, 3
801676751, 801676900, 1_3, 1, 3
801676917, 801677034, 1_2, 1, 3
801677150, 801677417, 2_3, 1, 3
801677533, 801677699, 1_3, 1, 3
801677816, 801678132, 1_2, 1, 3
801678249, 801678349, 1_3, 1, 3
801678465, 801678832, 2_3, 1, 3
801678948, 801679198, 1_4, 1, 3
801679348, 801679431, 1_5, 1, 3
801679681, 801680063, 4_0, 1, 3
801680297, 801680297, 1_3, 1, 3
801680313, 801680313, 1_2, 1, 3
801680330, 801680380, 1_3, 1, 3
801680396, 801680396, 1_2, 1, 3
801680413, 801680446, 1_3, 1, 3
801680463, 801680480, 1_2, 1, 3
801680513, 801680663, 1_2, 1, 3
801680879, 801680946, 3_3, 1, 3
801680979, 801680979, 3_3, 1, 3
801681012, 801681046, 3_3, 1, 3
801681062, 801681062, 3_4, 1, 3
801681079, 801681262, 3_3, 1, 3
801681395, 801681479, 3_2, 1, 3
801681695, 801681845, 3_5, 1, 3
801682011, 801682111, 2_5, 1, 3
801682328, 801682444, 4_0, 1, 3
801682461, 801682644, 3_5, 1, 3
801682910, 801682910, 1_4, 1, 3
801683127, 801683127, 1_2, 1, 3
801683143, 801683143, 1_3, 1, 3
801683293, 801683360, 1_5, 1, 3
801683510, 801683543, 3_2, 1, 3
801683593, 801683793, 3_2, 1, 3
801684109, 801684342, 1_3, 1, 3
801690037, 801690353, 2_3, 1, 4
801690569, 801690936, 1_3, 1, 4
801691052, 801691169, 2_3, 1, 4
801691202, 801691319, 2_3, 1, 4
801691535, 801691568, 4_0, 1, 4
801691585, 801691585, 3_5, 1, 4
801691601, 801692001, 4_0, 1, 4
801692034, 801692034, 4_0, 1, 4
801692034, 801692034, 4_0, 1, 4
801701242, 801701275, 1_3, 1, 5
801701391, 801701391, 3_3, 1, 5
801701408, 801701691, 2_3, 1, 5
801701808, 801701808, 1_3, 1, 5
801701858, 801701858, 1_4, 1, 5
801701891, 801701891, 1_3, 1, 5
801701924, 801701924, 1_3, 1, 5
801701957, 801702124, 1_3, 1, 5
801702340, 801702474, 2_3, 1, 5
801702590, 801702823, 1_2, 1, 5
801702940, 801703006, 2_2, 1, 5
801703256, 801703289, 2_5, 1, 5
801703756, 801703972, 1_5, 1, 5
801703989, 801704238, 1_4, 1, 5
801704255, 801704355, 1_5, 1, 5
801704371, 801704405, 1_4, 1, 5
801704421, 801704721, 1_3, 1, 5
801705004, 801705221, 3_5, 1, 5
801705337, 801705588, 4_0, 1, 5
801705704, 801705871, 3_5, 1, 5
801705987, 801706120, 4_0, 1, 5
801706137, 801706137, 3_5, 1, 5
801706254, 801706254, 2_5, 1, 5
801706270, 801706270, 3_4, 1, 5
801706387, 801706537, 3_3, 1, 5
801706553, 801706553, 3_2, 1, 5
801706670, 801706753, 3_1, 1, 5
801706770, 801706770, 3_2, 1, 5
801706986, 801707186, 4_0, 1, 5
801707402, 801707585, 2_3, 1, 5
801707402, 801707585, 2_3, 1, 5
801713778, 801713995, 1_3, 1, 6
801714011, 801714011, 1_4, 1, 6
801714045, 801714061, 1_3, 1, 6
801714078, 801714095, 1_4, 1, 6
801714211, 801714211, 1_5, 1, 6
801714278, 801714428, 1_4, 1, 6
801714561, 801714594, 1_3, 1, 6
801714711, 801715044, 2_3, 1, 6
801715160, 801715227, 2_2, 1, 6
801715444, 801715444, 3_5, 1, 6
801715461, 801715627, 4_0, 1, 6
801715844, 801716110, 1_2, 1, 6
801717192, 801717342, 4_0, 1, 6
801717359, 801717359, 3_5, 1, 6
801717375, 801717542, 4_0, 1, 6
801724301, 801724484, 2_3, 1, 7
801724634, 801724634, 2_4, 1, 7
801724684, 801724684, 1_4, 1, 7
801724801, 801725017, 1_5, 1, 7
801725167, 801725451, 1_2, 1, 7
801725467, 801725617, 1_3, 1, 7
801725634, 801725867, 2_3, 1, 7
801726000, 801726050, 2_4, 1, 7
801726166, 801726183, 1_4, 1, 7
801726416, 801726449, 4_0, 1, 7
801726666, 801726699, 1_4, 1, 7
801726716, 801726899, 1_5, 1, 7
801727032, 801727065, 2_5, 1, 7
801727199, 801727349, 3_5, 1, 7
801727465, 801727515, 4_0, 1, 7
801727548, 801727598, 4_0, 1, 7
801727715, 801727831, 3_5, 1, 7
801727948, 801727998, 4_0, 1, 7
801728014, 801728014, 3_5, 1, 7
801728031, 801728664, 4_0, 1, 7
801728680, 801728963, 3_5, 1, 7
801729180, 801729263, 2_2, 1, 7
801729379, 801729812, 1_2, 1, 7
801730045, 801730229, 3_5, 1, 7
801730345, 801730562, 4_0, 1, 7
801730678, 801730878, 3_5, 1, 7
801731144, 801731244, 1_2, 1, 7
801731460, 801731627, 3_5, 1, 7
801731744, 801731793, 4_0, 1, 7
801731827, 801731877, 4_0, 1, 7
801731910, 801731960, 4_0, 1, 7
801732077, 801732310, 3_5, 1, 7
801732343, 801732659, 3_5, 1, 7
801733508, 801733525, 2_2, 1, 7
801733542, 801733575, 2_3, 1, 7
801733608, 801733641, 2_3, 1, 7
801733858, 801734041, 3_5, 1, 7
801734157, 801734507, 4_0, 1, 7
801738986, 801739070, 2_3, 1, 8
801739186, 801739269, 1_3, 1, 8
801739386, 801739469, 1_2, 1, 8
801739586, 801739636, 1_4, 1, 8
801739669, 801739719, 1_4, 1, 8
801740068, 801740185, 3_5, 1, 8
801740601, 801740601, 2_2, 1, 8
801740651, 801740668, 2_2, 1, 8
801740801, 801740801, 1_1, 1, 8
801740834, 801740901, 1_1, 1, 8
801741117, 801741167, 3_3, 1, 8
801741284, 801741434, 3_1, 1, 8
801741450, 801741450, 3_2, 1, 8
801741567, 801741567, 3_5, 1, 8
801741583, 801741583, 4_0, 1, 8
801746795, 801746812, 3_3, 1, 9
801746928, 801747095, 2_3, 1, 9
801747112, 801747228, 1_3, 1, 9
801747261, 801747295, 1_4, 1, 9
801747311, 801747594, 1_3, 1, 9
801747611, 801747611, 1_4, 1, 9
801747744, 801747744, 1_5, 1, 9
801747844, 801747977, 1_5, 1, 9
801748144, 801748144, 3_5, 1, 9
801748177, 801748177, 3_5, 1, 9
801748393, 801748577, 4_0, 1, 9
801748793, 801749226, 2_3, 1, 9
801749392, 801749476, 2_4, 1, 9
801754154, 801754353, 3_3, 1, 10
801754370, 801754537, 2_3, 1, 10
801754653, 801754653, 1_2, 1, 10
801754670, 801754686, 1_3, 1, 10
801754703, 801754886, 1_2, 1, 10
801754903, 801754919, 1_1, 1, 10
801755152, 801755152, 1_3, 1, 10
801755186, 801755186, 1_3, 1, 10
801755219, 801755219, 1_4, 1, 10
801755252, 801755369, 1_4, 1, 10
801755853, 801755903, 3_5, 1, 10
801756019, 801756102, 4_0, 1, 10
801756502, 801756635, 3_4, 1, 10
801756652, 801756835, 3_3, 1, 10
801756868, 801756885, 3_3, 1, 10
801756902, 801757068, 3_4, 1, 10
801757185, 801757451, 2_4, 1, 10
801757567, 801757667, 3_4, 1, 10
801757684, 801757684, 2_4, 1, 10
801757950, 801758000, 1_4, 1, 10
801758217, 801758300, 3_4, 1, 10
801758416, 801758516, 2_3, 1, 10
801758533, 801758550, 2_2, 1, 10
801758583, 801758600, 2_3, 1, 10
801758716, 801758833, 3_3, 1, 10
801758949, 801759182, 2_3, 1, 10
801759299, 801759515, 3_3, 1, 10
801759532, 801759715, 3_4, 1, 10
801759832, 801759981, 2_4, 1, 10
801760098, 801760198, 3_4, 1, 10
801760314, 801760414, 4_0, 1, 10
801760531, 801760747, 3_5, 1, 10
801760764, 801760980, 3_4, 1, 10
801760997, 801761063, 3_3, 1, 10
801783424, 801783440, 3_3, 2, 1
801783474, 801783474, 3_4, 2, 1
801783490, 801783490, 3_3, 2, 1
801783524, 801783590, 3_3, 2, 1
801783807, 801783840, 2_3, 2, 1
801783856, 801783923, 2_2, 2, 1
801784040, 801784306, 1_3, 2, 1
801784456, 801784472, 2_3, 2, 1
801784489, 801784489, 2_4, 2, 1
801784506, 801784539, 2_3, 2, 1
801784755, 801784839, 4_0, 2, 1
801784855, 801784855, 3_4, 2, 1
801784872, 801784972, 4_0, 2, 1
801795762, 801796011, 2_3, 2, 2
801796128, 801796478, 1_3, 2, 2
801796494, 801796727, 1_2, 2, 2
801796844, 801796844, 1_3, 2, 2
801796860, 801797044, 2_3, 2, 2
801797077, 801797210, 2_3, 2, 2
801797443, 801797443, 1_3, 2, 2
